# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
00079;CZ-IT-HKS;Interconnectio;ysf.iw0hks.it;42000;000;
31912;US-Boriken-CT;N1RER y Amigos;187.33.156.165;42002;000;
20281;GR-KERKYRA-DV;GR-KERKYRA-DV;reflector.freedmr.gr;42002;000;
08006;US-FB-MULTIMODE;;45.56.104.118;42000;000;
00513;CN-NT-TG460073;;106.14.245.199;42000;000;
40500;IT-NEAPOLIS-C4FM;NEAPOLIS C4FM;79.131.116.46;42009;000;
13322;GB-xlx201b;xlx201b d-star;xlx201.uk;42001;000;
02034;XX-Alabama-Link;Alabama Link;96.47.95.121;42002;000;
51149;US-XLX721;XLX721;xlx721.dyndns.org;42000;000;
00077;XX-0077-NETWORK;USA - MEX;141.11.210.34;42000;000;
00090;US-XLX089;NEDR;xlx089.newenglanddigitalradio.com;42000;000;
52733;US-KA7FHA-SWX;Space WX Chat;reflector.ka7fha.com;42002;000;
00505;US-NM505-KB0WMA;KB0WMA_YSF_REF;us-nm505-kb0wma.ddnsfree.com;42000;000;
31910;US-LMRNET;LMR-NETWORK;172.233.211.93;42000;000;
20252;GB-XLX252B;XLX252 NRC ref;nrcnet.duckdns.org;42000;000;
08005;US-AREA-609;Serving SNJ WW;67.205.135.215;42001;000;
40448;US-Idaho-Command;Idaho Command;quark.mywire.org;42002;000;
